,fyear,gvkey,sich,insbnk,understatement,option,p_aaer,new_p_aaer,misstate,act,ap,at,ceq,che,cogs,csho,dlc,dltis,dltt,dp,ib,invt,ivao,ivst,lct,lt,ni,ppegt,pstk,re,rect,sale,sstk,txp,txt,xint,prcc_f,dch_wc,ch_rsst,dch_rec,dch_inv,soft_assets,ch_cs,ch_cm,ch_roa,issue,bm,dpi,reoa,EBIT,ch_fcf
0,2000,1021,3861.0,0,0,0,2620.5,26206.0,0,7.8839999999999995,1.165,11.607999999999999,4.455,0.434,16.506,9.271,0.195,0.0,4.875,0.7,-0.8079999999999999,4.078,0.0,0.0,2.278,7.153,-0.8079999999999999,8.065,0.0,-7.184,3.2439999999999998,25.366999999999997,0.0,0.0,0.005,0.475,0.49,-0.137922951,-0.073298429,-0.053137454,-0.110650934,0.885768436,-0.137545114,-0.041805243,0.072064049,0,0.980674872,0.8013463140000001,-0.618883529,-0.028256375,0.182620927
1,2000,1034,2834.0,0,0,0,2620.5,26206.0,0,600.418,72.866,1610.435,847.887,72.931,434.19699999999995,40.214,20.676,128.0,504.445,64.836,55.508,253.03799999999998,0.0,0.0,206.438,762.548,55.508,536.5980000000001,0.0,54.068999999999996,243.533,900.794,489.629,25.278000000000002,20.176,48.518,43.875,0.09966214300000001,0.32508812800000003,0.039175645,0.066412796,0.740459565,0.187391118,0.13510888,0.004332323,1,0.480555524,0.600067469,0.033574159,0.077123262,-0.31170812
2,2000,1036,3443.0,0,0,0,2620.5,26206.0,0,942.6239999999999,171.267,2325.377,921.775,101.369,1595.8020000000001,39.125,152.885,213.09,658.2669999999999,72.601,56.55,404.772,5.5489999999999995,0.0,545.479,1403.602,56.55,651.5319999999999,0.0,377.25300000000004,376.108,2366.224,0.201,0.0,38.772,53.86,12.1875,0.014349613999999998,0.004423519,0.018266011999999998,0.006182679,0.8092197520000001,0.081489222,-0.04102035,-0.016067337,1,1.933107234,0.908023219,0.162233049,0.064153899,-0.018594897
3,2000,1038,7830.0,0,0,0,2620.5,26206.0,0,93.381,65.832,1047.264,-59.045,34.075,1051.503,23.469,37.875,11.22,748.138,105.26,-90.126,0.0,12.134,0.0,241.9,1106.309,-105.88600000000001,1234.329,0.0,-171.168,17.867,1214.8010000000002,0.0,0.0,-45.7,77.0,7.08,-0.024734477999999997,-0.02905456,-0.016085371,0.0,0.24413233,0.041307326,0.010276081999999999,-0.04371526,1,-0.355349153,0.8566814620000001,-0.16344302900000002,-0.07121986400000001,-0.00741927
4,2000,1045,4512.0,0,0,0,2620.5,26206.0,0,5179.0,1267.0,26213.0,7176.0,2233.0,17120.0,152.063,796.0,836.0,5474.0,1202.0,779.0,757.0,0.0,2144.0,6990.0,19037.0,813.0,28157.0,0.0,5948.0,1303.0,19703.0,67.0,0.0,508.0,467.0,39.1875,-0.021942396,0.012414257,0.006681559,0.0019372570000000002,0.20386831,0.076906114,-0.235223673,-0.010062295,1,1.2042351999999998,1.037029888,0.226910312,0.06821043,-0.007551347
5,2000,1050,3564.0,0,0,0,2620.5,26206.0,0,28.391,11.808,55.896,7.007999999999999,1.666,71.92399999999999,7.886,3.7760000000000002,1.3,26.101,1.9509999999999998,-0.69,7.472,0.0,1.002,16.759,48.828,-0.69,17.055999999999997,0.0,-3.984,17.373,89.81700000000001,0.031,0.0,-0.304,3.807,1.375,0.008189289,-0.029859117999999997,0.003159794,0.043881872,0.72711822,7.1721057429999995,-1.3299333690000001,-0.001901355,1,0.646300694,0.38775423700000006,-0.071275225,0.050325605,0.014284512
6,2000,1056,3674.0,0,0,0,2620.5,26206.0,0,162.806,9.488999999999999,248.707,201.93200000000002,66.222,109.565,27.822,1.5659999999999998,2.09,12.982999999999999,8.982999999999999,14.4,37.367,0.0,11.512,28.901999999999997,46.775,14.4,91.07799999999999,0.0,8.979,51.086000000000006,185.924,74.17,0.0,6.2,2.316,49.6875,0.06780005,0.226071033,0.053724968,0.022854492,0.523760891,0.276042047,0.160719573,0.00212965,1,0.146072901,0.7785617859999999,0.036102722999999996,0.092140551,-0.203636908
7,2000,1072,3670.0,0,0,0,2620.5,26206.0,0,1355.286,145.26,1885.098,1505.0339999999999,496.186,1504.415,174.702,12.173,2.719,13.722000000000001,129.882,567.5369999999999,486.61300000000006,0.0,0.0,343.533,380.064,567.5369999999999,1152.889,0.0,1181.371,306.367,2608.113,7.99,96.431,273.723,2.32,17.26,0.116342026,0.163521406,0.032246216,0.081546826,0.5001676310000001,0.665051519,1.046441033,0.22280533800000002,1,0.499123069,0.900274279,0.626689435,0.447499281,0.093634773
8,2000,1075,4911.0,0,0,0,2620.5,26206.0,0,793.913,375.805,7149.151,2382.714,10.363,2619.794,84.825,546.244,651.0,1955.0829999999999,394.41,302.332,91.37100000000001,689.572,0.0,1191.298,4766.437,302.332,8382.751,0.0,849.883,588.388,3690.175,0.0,89.24600000000001,223.852,171.239,47.625,0.00313062,0.029955537,0.039377345,-6.9052e-05,0.280536108,0.420300974,-0.536634742,0.018803713,1,0.58981126,1.046397504,0.118878871,0.09755326199999999,-0.025369872
9,2000,1081,2621.0,0,0,0,2620.5,26206.0,0,1659.0,1371.0,11255.0,3095.0,123.0,3994.0,440.0,327.0,5316.0,5265.0,541.0,367.0,804.0,0.0,0.0,1698.0,8100.0,367.0,9753.0,0.0,-439.0,681.0,5677.0,3.0,0.0,191.0,399.0,13.8,0.020571808,0.053530941,0.029530498,0.040922413,0.276321635,0.294568079,0.321897332,0.081284455,1,0.509716733,1.2007314690000002,-0.039004887,0.08502887599999999,0.01780678
10,2000,1082,1540.0,0,0,0,2620.5,26206.0,0,29.086,8.804,97.62,22.506,11.449000000000002,136.313,2.943,1.709,0.0,50.181000000000004,2.762,0.376,1.483,36.1,0.0,17.644000000000002,75.11399999999999,0.6759999999999999,39.246,0.0,17.930999999999997,14.549000000000001,154.075,0.0,0.0,0.245,5.051,3.5,-0.032045334,-0.040106552000000004,-0.054692566,-0.008669799,0.594519566,-0.139306945,0.092367716,0.010735918,0,2.184942479,0.5318705260000001,0.18368162300000002,0.06117598900000001,0.020242833999999998
11,2000,1084,7372.0,0,0,0,2620.5,26206.0,0,0.625,1.589,1.964,-3.888,0.038,9.397,19.204,0.66,0.25,1.4180000000000001,0.868,-8.92,0.13699999999999998,0.0,0.0,4.434,5.852,-8.92,1.985,0.0,-21.594,0.205,1.409,3.845,0.0,0.0,0.149,0.085,-0.587101557,-0.9141586359999999,0.008302446,-0.025203855,0.41700611,3.184848485,-6.471945515,-1.6462676569999999,1,-2.381856721,0.39359585,-10.99490835,-4.465885947,-0.56223888
12,2000,1094,5160.0,0,0,0,2620.5,26206.0,0,73.839,3.252,88.081,63.604,4.9639999999999995,157.003,6.034,0.642,0.0,0.9079999999999999,0.5820000000000001,6.343999999999999,38.453,8.158,2.153,23.569000000000003,24.476999999999997,6.343999999999999,3.8160000000000003,0.0,35.696999999999996,27.908,184.78900000000002,0.32899999999999996,1.147,3.887,0.011000000000000001,11.0,0.09151744699999999,0.011398071999999999,0.01025023,0.10111340699999999,0.929008526,0.096825757,0.406345522,0.00138634,1,0.9582667909999999,1.268050783,0.40527469,0.116279334,-0.008494030999999999
13,2000,1095,4833.0,0,0,0,2620.5,26206.0,0,97.295,7.426,667.307,175.98,4.687,205.457,35.019,9.232000000000001,194.0,385.439,15.448,158.607,0.0,0.0,0.0,82.18700000000001,491.327,148.9,291.774,0.0,127.738,60.742,224.56400000000002,0.447,0.0,96.28399999999999,25.795,9.0,-0.016851447,0.245557783,-0.000653987,0.0,0.73751212,-0.140523812,0.073208772,0.23344445,1,0.558363555,1.086863192,0.19142313800000002,0.40607846200000003,0.0064094040000000005
14,2000,1099,3612.0,0,0,0,2620.5,26206.0,0,26.595,5.787999999999999,46.21,22.706,0.20600000000000002,54.748000000000005,5.077,0.249,28.166999999999998,10.312999999999999,2.176,0.802,11.14,0.0,0.0,9.649,23.504,0.802,41.227,0.0,-1.52,12.207,80.914,0.027999999999999997,0.0,0.785,0.563,8.625,0.062695495,0.01888171,0.020616909,0.042695039000000004,0.683012335,-0.012953208,0.038389248,-0.044002766,1,0.518530571,1.008741329,-0.032893313,0.046526726,-0.062375852999999995
15,2000,1104,3420.0,0,0,0,2620.5,26206.0,0,16.449,2.26,21.118000000000002,7.893,0.022000000000000002,21.646,3.508,2.589,1.351,4.9239999999999995,0.59,1.061,10.022,0.0,0.0,7.9879999999999995,13.225,1.061,8.732000000000001,0.0,-2.53,5.973,34.413000000000004,0.003,0.0,0.035,0.927,2.8125,0.06861645,0.049707533,-0.034809598,0.08232064,0.851122265,-0.005293101999999999,1.2998205,-0.036645931,1,0.8,1.210889212,-0.11980301199999999,0.09579505599999999,0.008403963
16,2000,1109,3944.0,0,0,0,2620.5,26206.0,0,3.9130000000000003,0.534,6.33,3.4589999999999996,0.615,3.862,2.116,1.058,0.0,0.8909999999999999,0.129,0.095,1.3880000000000001,0.0,0.0,1.7919999999999998,2.8710000000000004,0.095,2.184,0.0,0.311,1.693,7.824,0.0,0.08,0.10400000000000001,0.19399999999999998,1.875,0.10638848199999999,0.115354772,0.12690749199999998,-0.004655574,0.710110585,0.21557194300000002,-0.185398798,0.061689425,0,0.871833648,1.0631331590000002,0.049131122,0.062085308,-0.058798172
